mean_microseconds,tflops,index,tag,name,B,M,N,K1,K2,arithmetic_intensity,dtype,ok
10877.628326416016,606.4805276197203,179,llm,attention_48x16384x128x128x16384xf8E4M3FNUZ,48,16384,128,128,16384,16384.0,fp8,True
57.13849142193794,300.67068199500807,180,llm,attention_64x1024x64x64x1024xf8E4M3FNUZ,64,1024,64,64,1024,1024.0,fp8,True
89.45050835609436,384.1201017127482,181,llm,attention_64x1024x128x128x1024xf8E4M3FNUZ,64,1024,128,128,1024,1024.0,fp8,True
173.16117882728577,396.85267333818575,182,llm,attention_64x2048x64x64x2048xf8E4M3FNUZ,64,2048,64,64,2048,2048.0,fp8,True
277.4702310562134,495.32864462190145,183,llm,attention_64x2048x128x128x2048xf8E4M3FNUZ,64,2048,128,128,2048,2048.0,fp8,True
552.013099193573,497.9554060321479,184,llm,attention_64x4096x64x64x4096xf8E4M3FNUZ,64,4096,64,64,4096,4096.0,fp8,True
964.6841883659363,569.8816467793703,185,llm,attention_64x4096x128x128x4096xf8E4M3FNUZ,64,4096,128,128,4096,4096.0,fp8,True
2115.428686141968,519.7583047723741,186,llm,attention_64x8192x64x64x8192xf8E4M3FNUZ,64,8192,64,64,8192,8192.0,fp8,True
3663.2745265960693,600.2889599418971,187,llm,attention_64x8192x128x128x8192xf8E4M3FNUZ,64,8192,128,128,8192,8192.0,fp8,True
8166.670799255371,538.5360349660488,188,llm,attention_64x16384x64x64x16384xf8E4M3FNUZ,64,16384,64,64,16384,16384.0,fp8,True
13991.951942443848,628.653747410718,189,llm,attention_64x16384x128x128x16384xf8E4M3FNUZ,64,16384,128,128,16384,16384.0,fp8,True
79.56331223249435,323.89053513379736,190,llm,attention_96x1024x64x64x1024xf8E4M3FNUZ,96,1024,64,64,1024,1024.0,fp8,True
139.1957849264145,370.26701332404775,191,llm,attention_96x1024x128x128x1024xf8E4M3FNUZ,96,1024,128,128,1024,1024.0,fp8,True
243.58488619327545,423.1757426124153,192,llm,attention_96x2048x64x64x2048xf8E4M3FNUZ,96,2048,64,64,2048,2048.0,fp8,True
421.3632345199585,489.26534950983006,193,llm,attention_96x2048x128x128x2048xf8E4M3FNUZ,96,2048,128,128,2048,2048.0,fp8,True
845.4481363296509,487.690306120957,194,llm,attention_96x4096x64x64x4096xf8E4M3FNUZ,96,4096,64,64,4096,4096.0,fp8,True
1470.983862876892,560.6001137355878,195,llm,attention_96x4096x128x128x4096xf8E4M3FNUZ,96,4096,128,128,4096,4096.0,fp8,True
3169.226884841919,520.4005587458171,196,llm,attention_96x8192x64x64x8192xf8E4M3FNUZ,96,8192,64,64,8192,8192.0,fp8,True
5530.881881713867,596.3849805278928,197,llm,attention_96x8192x128x128x8192xf8E4M3FNUZ,96,8192,128,128,8192,8192.0,fp8,True
12377.548217773438,532.9867959781399,198,llm,attention_96x16384x64x64x16384xf8E4M3FNUZ,96,16384,64,64,16384,16384.0,fp8,True
21194.290161132812,622.5327403277746,199,llm,attention_96x16384x128x128x16384xf8E4M3FNUZ,96,16384,128,128,16384,16384.0,fp8,True
100.35204142332077,342.3920219326515,200,llm,attention_128x1024x64x64x1024xf8E4M3FNUZ,128,1024,64,64,1024,1024.0,fp8,True
174.20682311058044,394.47063845702104,201,llm,attention_128x1024x128x128x1024xf8E4M3FNUZ,128,1024,128,128,1024,1024.0,fp8,True
289.9322509765625,474.0381692932473,202,llm,attention_128x2048x64x64x2048xf8E4M3FNUZ,128,2048,64,64,2048,2048.0,fp8,True
531.1233401298523,517.5406279016022,203,llm,attention_128x2048x128x128x2048xf8E4M3FNUZ,128,2048,128,128,2048,2048.0,fp8,True
1103.567123413086,498.16255144293206,204,llm,attention_128x4096x64x64x4096xf8E4M3FNUZ,128,4096,64,64,4096,4096.0,fp8,True
1918.3588027954102,573.1522310496891,205,llm,attention_128x4096x128x128x4096xf8E4M3FNUZ,128,4096,128,128,4096,4096.0,fp8,True
